book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,description
15,48855,48855,3532896,710,553296981,9780553296980,1947,"Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944","The Diary of a Young Girl",eng,4.1,1972666,2024493,"discovered attic spent last year life anne frank remarkable diary become world powerful reminder horror war eloquent testament human spirit nazi occupying holland jewish girl family fled home amsterdam went hiding next two year whereabouts betrayed gestapo frank another family lived cloistered secret annexe old office building cut outside world faced hunger boredom constant cruelty living confined quarter threat discovery death diary anne frank recorded vivid impression experience period turn thoughtful moving surprisingly humorous account offer fascinating commentary human courage frailty compelling sensitive spirited young woman whose promise tragically cut back cover"
16,2429135,2429135,1708725,274,307269752,9780307269750,2005,"Män som hatar kvinnor","The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,1929834,"harriet vanger scion one sweden wealthiest family disappeared forty year ago year later aged uncle continues seek truth hire mikael blomkvist crusading journalist recently trapped libel conviction investigate aided pierced tattooed punk prodigy lisbeth salander together tap vein unfathomable iniquity astonishing international publishing sensation stieg larsson girl dragon tattoo combine murder mystery family saga love story financial intrigue one satisfyingly complex entertainingly atmospheric novel"
17,6148028,6148028,6171458,201,439023491,9780439023500,2009,"Catching Fire","Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,1988079,"spark capitol want revenge odds katniss everdeen hunger game fellow district tribute peeta mellark miraculously still alive katniss relieved happy even returned family longtime friend gale yet nothing way katniss wish gale hold icy distance peeta turned back completely whisper rebellion rebellion katniss peeta may helped create much shock katniss fueled unrest afraid stop scare even entirely convinced try time draw near katniss peeta visit district capitol cruel victory tour stake higher ever ca prove without shadow doubt lost love consequence catching fire second novel hunger game trilogy suzanne collins continues story katniss everdeen testing ever surprising reader every turn"
18,5,5,2402163,376,043965548X,9780439655480,1999,"Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,1969375,"harry potter along best friend ron hermione start third year hogwarts school witchcraft wizardry harry ca wait get back school summer holiday would lived horrible dursleys harry get hogwarts atmosphere tense escaped mass murderer loose sinister prison guard azkaban called guard school"
19,34,34,3204327,566,618346252,9780618346260,1954," The Fellowship of the Ring","The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,1832541,"alternate cover edition isbn copyright page isbn different back cover one ring rule one ring find one ring bring darkeness bind themin ancient time ring power crafted sauron dark lord forged one ring filling power could rule others one ring taken though sought throughout remained lost many age fell hand bilbo baggins told sleepy village shire young frodo baggins find faced immense task elderly cousin bilbo entrusts ring care frodo must leave home make perilous journey across crack doom destroy ring foil dark lord evil back cover"
20,7260188,7260188,8812783,239,439023513,9780439023510,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,1870748,"name katniss dead everdeen girl fire survived even though home destroyed gale escaped katniss family safe peeta captured capitol district really exist rebel new leader revolution design katniss rescued arena cruel haunting quarter quell design long part revolution without knowing district come shadow plotting overthrow capitol everyone seems hand carefully laid success rebellion hinge katniss willingness pawn accept responsibility countless life change course future panem must put aside feeling anger distrust must become rebel matter personal cost"
21,2,2,2809203,307,439358078,9780439358070,2003,"Harry Potter and the Order of the Phoenix","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,"harry potter start fifth year hogwarts school witchcraft wizardry unlike schoolboy harry never enjoys summer holiday summer even worse usual dursleys course making life misery even best friend ron hermione seem neglecting enough beginning think must something anything change situation summer holiday come end dramatic fashion harry discover new year hogwarts turn world upside"
22,12232938,12232938,1145090,183,316166685,9780316166680,2002,"The Lovely Bones","The Lovely Bones",eng,3.77,1605173,1661562,"name salmon like fish first name susie fourteen murdered december begin story susie salmon adjusting new home heaven place expected even watching life earth continue without friend trading rumor disappearance killer trying cover track family unraveling unspeakable tragedy loss lovely bone succeeds miraculously building tale filled hope humor suspense even joy"
23,15881,15881,6231171,398,439064864,9780439064870,1998,"Harry Potter and the Chamber of Secrets","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,1906199,"ever since harry potter come home summer dursleys mean hideous harry wanted get back hogwarts school witchcraft wizardry packing bag harry receives warning strange impish creature say harry return hogwarts disaster strike harry second year hogwarts fresh torment horror arise including outrageously new professor spirit haunt girl bathroom real trouble begin someone turning hogwarts student stone could draco malfoy poisonous rival ever could possibly hagrid whose mysterious past finally told could one everyone hogwarts harry potter"
24,6,6,3046572,332,439139600,9780439139600,2000,"Harry Potter and the Goblet of Fire","Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,"summer holiday soon harry potter starting fourth year hogwarts school witchcraft wizardry harry counting day new spell learnt quidditch played hogwarts castle continue exploring harry need careful unexpected danger lurking"
25,136251,136251,2963218,263,545010225,9780545010220,2007,"Harry Potter and the Deathly Hallows","Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,"harry burdened dark dangerous seemingly impossible task locating destroying voldemort remaining horcruxes never harry felt alone faced future full shadow harry must somehow find within strength complete task given must leave warmth safety companionship burrow follow without fear hesitation inexorable path laid final seventh installment harry potter series rowling unveils spectacular fashion answer many question eagerly awaited"
26,968,968,2982101,350,307277674,9780307277670,2003,"The Da Vinci Code","The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,"isbn moved paris harvard symbologist robert langdon awakened phone call dead night elderly curator louvre murdered inside museum body covered baffling symbol langdon gifted french cryptologist sophie neveu sort bizarre riddle stunned discover trail clue hidden work leonardo da visible see yet ingeniously disguised startling late curator involved priory secret society whose member included sir isaac newton victor hugo da guarded breathtaking historical secret unless langdon neveu decipher labyrinthine avoiding faceless adversary shadow every explosive ancient truth lost forever"
27,1,1,41335427,275,439785960,9780439785970,2005,"Harry Potter and the Half-Blood Prince","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,"middle summer unseasonal mist pressing windowpane harry potter waiting nervously bedroom dursleys house privet drive visit professor dumbledore one last time saw headmaster fierce duel lord voldemort harry ca quite believe professor dumbledore actually appear dursleys place professor coming visit wait harry return hogwarts week time harry sixth year hogwarts already got unusual start world muggle magic start intertwine"
28,7624,7624,2766512,458,140283331,9780140283330,1954,"Lord of the Flies ","Lord of the Flies",eng,3.64,1605019,1671484,"dawn next world war plane crash uncharted island stranding group schoolboy first adult supervision freedom something celebrate far civilization boy anything want anything attempt forge society failing however face terror sin evil order collapse strange howl echo night terror begin reign hope adventure seems far reality hope rescued labeled parable allegory myth morality tale parody political treatise even vision apocalypse lord fly perhaps memorable novel end innocence darkness man heart"
29,18135,18135,3349450,1937,743477111,9780743477120,1595,"An Excellent conceited Tragedie of Romeo and Juliet","Romeo and Juliet",eng,3.73,1628519,1672889,"romeo juliet shakespeare creates violent world two young people fall love simply family disapprove montagues capulets engaged blood setting movement love first sight lover final union death seems almost inevitable yet play set extraordinary world become quintessential story young love part exquisite language easy respond young lover"
30,8442457,19288043,13306276,196,297859382,9780297859380,2012,"Gone Girl","Gone Girl",eng,4.03,512475,1626519,"done question nick dunne find asking morning fifth wedding anniversary wife amy suddenly disappears police suspect nick amy friend reveal afraid kept secret swears true police examination computer show strange search say made persistent call mobile happen nick beautiful wife"
31,4667024,4667024,4717423,183,399155341,9780399155340,2009,"The Help","The Help",eng,4.45,1531753,1603545,"three ordinary woman take one extraordinary skeeter returned home graduating ole miss may degree mississippi mother happy till skeeter ring finger skeeter would normally find solace beloved maid constantine woman raised constantine disappeared one tell skeeter black maid wise regal woman raising seventeenth white child something shifted inside loss son died boss looked way devoted little girl look though know heart may aibileen best friend short fat perhaps sassiest woman mississippi cook like nobody business ca mind tongue lost yet another job minny finally find position working someone new town know reputation new bos secret different one another woman nonetheless come together clandestine project put risk suffocating within line define town time sometimes line made voice kathryn stockett creates three extraordinary woman whose determination start movement forever change town way woman mother daughter caregiver friend view one another deeply moving novel filled poignancy humor hope help timeless universal story line abide one librarian note alternate cover edition found"
32,890,890,40283,373,142000671,9780142000670,1937,"Of Mice and Men ","Of Mice and Men",eng,3.84,1467496,1518741,"got look got look unlikely pair george small quick dark face lennie man tremendous size mind young child yet formed family clinging together face loneliness alienation laborer california dusty vegetable field hustle work living existence george lennie plan acre land shack call powerlessness laboring class recurring theme steinbeck work late narrowed focus composing mouse men creating intimate portrait two men facing world marked petty tyranny misunderstanding jealousy callousness though scope narrow theme universal friendship shared dream make individual existence unique perspective life hardship story achieved status timeless classic due remarkable success novel broadway play three acclaimed film"
33,930,929,1558965,220,739326228,9780739326220,1997,"Memoirs of a Geisha","Memoirs of a Geisha",eng,4.08,1300209,1418172,"literary sensation runaway bestseller brilliant novel present seamless authenticity exquisite lyricism true confession one japan celebrated memoir geisha enter world appearance paramount girl virginity auctioned highest bidder woman trained beguile powerful men love scorned illusion unique triumphant work fiction romantic erotic suspenseful completely unforgettable"
34,10818853,10818853,15732562,169,1612130291,9781612130290,2011,"Fifty Shades of Grey","Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,"literature student anastasia steele go interview young entrepreneur christian grey encounter man beautiful brilliant intimidating unworldly innocent ana startled realize want man despite enigmatic reserve find desperate get close unable resist ana quiet beauty wit independent spirit grey admits want term shocked yet thrilled grey singular erotic taste ana hesitates trapping multinational business vast wealth loving man tormented demon consumed need control couple embarks daring passionately physical affair ana discovers christian grey secret explores dark amusing deeply moving fifty shade trilogy tale ob posse stay book intended mature audience"
35,865,865,4835472,458,61122416,9780061122420,1988,"O Alquimista","The Alchemist",eng,3.82,1299566,1403995,"paulo coelho masterpiece tell mystical story santiago andalusian shepherd boy yearns travel search worldly treasure quest lead rich far different far satisfying listening heart recognizing opportunity learning read omen strewn along life path importantly follow dream"
36,3636,3636,2543234,192,385732554,9780385732550,1993,"The Giver","The Giver (The Giver, #1)",eng,4.12,1296825,1345445,"age twelve jonas young boy seemingly utopian futuristic world singled receive special training giver alone hold memory true joy pain life"
37,100915,100915,4790821,474,60764899,9780060764890,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,"land beyond wardrobe door secret place frozen eternal winter magical country waiting set first find secret wardrobe professor mysterious old house first brother sister believe tell visit land narnia soon edmund peter susan step wardrobe narnia find country buried evil enchantment white witch meet lion aslan realize called great adventure bravely join battle free narnia witch sinister spell"
38,14050,18619684,2153746,167,965818675,9780965818670,2003,"The Time Traveler's Wife","The Time Traveler's Wife",eng,3.95,746287,1308667,"extraordinary love story clare henry met clare six henry married clare henry thirty impossible true henry suffers rare condition genetic clock periodically reset find pulled suddenly past future face force neither prevent control henry clare struggle lead normal life intensely moving entirely unforgettable"
39,13496,13496,1466917,101,553588486,9780553588480,1996,"A Game of Thrones","A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,1442220,"alternate cover edition found herelong ago time forgotten preternatural event threw season balance land summer last decade winter lifetime trouble brewing cold returning frozen waste north winterfell sinister force massing beyond kingdom protective wall south king power trusted adviser dead mysterious circumstance enemy emerging shadow throne center conflict lie starks winterfell family harsh unyielding frozen land born lord eddard stark reluctantly summoned serve king new hand appointment threatens sunder family kingdom harsh land cold summertime kingdom epicurean plenty game throne tell tale lord lady soldier sorcerer assassin bastard come together time grim omen enigmatic band warrior bear sword human metal tribe fierce wildlings carry men madness cruel young dragon prince barter sister win back throne child lost twilight life death determined woman undertakes treacherous journey protect hold dear amid plot tragedy betrayal victory terror ally enemy fate starks hang perilously balance side endeavor win deadliest conflict game throne"
40,19501,19501,3352398,185,143038419,9780143038410,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,3.51,1181647,1206597,"celebrated writer irresistible candid eloquent account pursuit worldly pleasure spiritual devotion really wanted life around time elizabeth gilbert turned thirty went midlife crisis everything educated ambitious american woman supposed husband house successful career instead feeling happy fulfilled consumed panic grief confusion went divorce crushing depression another failed love eradication everything ever thought supposed recover gilbert took radical step order give time space find really really wanted got rid belonging quit job undertook yearlong journey around alone eat pray love absorbing chronicle year aim visit three place could examine one aspect nature set backdrop culture traditionally done one thing well rome studied art pleasure learning speak italian gaining happiest pound life india art devotion help native guru surprisingly wise cowboy texas embarked four uninterrupted month spiritual exploration bali studied art balance worldly enjoyment divine transcendence became pupil elderly medicine man also fell love best intensely articulate moving memoir eat pray love happen claim responsibility contentment stop trying live imitation society ideal certain touch anyone ever woken unrelenting need change"
41,28187,28187,3346751,159,786838655,9780786838650,2005,"The Lightning Thief","The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,1411114,"alternate cover isbn found herepercy jackson good kid ca seem focus schoolwork control temper lately away boarding school getting worse percy could sworn teacher turned monster tried kill percy mom find know time knew truth came go one place safe sends percy camp half blood summer camp demigod long island learns father never knew poseidon god sea soon mystery unfolds together satyr demigod daughter athena percy set quest across united state reach gate underworld located recording studio hollywood prevent catastrophic war god"
42,1934,1934,3244642,1707,451529308,9780451529300,1868,"Little Women","Little Women (Little Women, #1)",eng,4.04,1257121,1314293,"alternate cover edition isbn reader young old male female fallen love march sister louisa may alcott popular enduring novel little woman talented tomboy jo tragically frail beth beautiful meg romantic spoiled amy united devotion struggle survive new england civil secret alcott based little woman early life father freethinking reformer abolitionist bronson alcott hobnobbed eminent male author emerson thoreau hawthorne louisa supported sister woman work including sewing laundry acting domestic servant soon discovered could make money writing little woman brought lasting fame fortune far girl book publisher requested explores timeless theme love death war peace conflict personal ambition family responsibility clash culture europe america"
43,10210,10210,2977639,2568,142437204,9780142437210,1847,"Jane Eyre","Jane Eyre",eng,4.1,1198557,1286135,"orphaned child jane felt outcast whole young life courage tested arrives thornfield hall hired brooding proud edward rochester care ward adèle jane find drawn troubled yet kind spirit fall love hard terrifying secret inside gloomy forbidding thornfield hall rochester hiding jane jane left heartbroken exiled"
44,15931,15931,1498135,190,553816713,9780553816720,1996,"The Notebook","The Notebook (The Notebook, #1)",eng,4.06,1053403,1076749,"man faded notebook open lap woman experiencing morning ritual understand begin read achingly tender story enduring power man faded notebook open lap woman experiencing morning ritual understand begin read notebook achingly tender story enduring power love story miracle stay forever set amid austere beauty coastal north carolina notebook begin story noah calhoun rural southerner returned home world war ii noah restoring plantation home former glory haunted image beautiful girl met fourteen year earlier girl loved like unable find yet unwilling forget summer spent together noah content live memory unexpectedly return town see allie nelson engaged another man realizes original passion felt noah dimmed passage time still obstacle ended previous relationship remain gulf world vast ignore impending marriage week away allie forced confront hope dream future future shape like puzzle within puzzle story noah allie beginning unfolds tale miraculously becomes something different much higher stake result deeply moving portrait love tender moment fundamental change affect u shining beauty rarely found current literature notebook establishes nicholas spark classic storyteller unique insight emotion really matter nothing special sure common man common thought led common life monument dedicated name soon forgotten loved another heart soul always enough begin one poignant compelling love story ever read notebook"
46,43641,43641,3441236,128,1565125606,9781565125600,2006,"Water for Elephants","Water for Elephants",eng,4.07,1068146,1108839,"jacob jankowski recently orphaned suddenly adrift jump onto passing train enters world freak drifter misfit circus struggling survive great depression making stand town endless town veterinary student almost earned degree jacob put charge caring circus menagerie meet marlena beautiful young star equestrian act married august charismatic twisted animal trainer also meet rosie elephant seems untrainable discovers way reach beautifully written water elephant illuminated wonderful sense time place tell story love two people overcomes incredible odds world even love luxury afford"
47,19063,19063,878368,251,375831002,9780375831000,2005,"The Book Thief","The Book Thief",eng,4.36,1159741,1287798,"librarian note alternate cover edition found hereit nazi germany country holding breath death never busier busier brother graveside liesel life changed pick single object partially hidden snow gravedigger handbook left behind accident first act book thievery begin love affair book word liesel help foster father learns read soon stealing book nazi mayor wife library wherever book dangerous time liesel foster family hide jew basement liesel world opened closed superbly crafted writing burn intensity author markus zusak given u one enduring story time note title published ya fiction"
49,49041,49041,3203964,194,316160199,9780316160190,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,3.52,1149630,1199000,"come sidewalk end shel silverstein world silverstein new york time bestselling author giving tree light attic falling every thing created poetry collection outrageously funny deeply profound meet boy turn tv set girl eats whale unicorn bloath live sarah cynthia sylvia stout take garbage place wash shadow plant diamond garden place shoe fly sister auctioned crocodile go silverstein masterful collection poem drawing stretch bound imagination cherished reader age"
50,30119,30119,30518,45,60513039,9780060513030,1974,"Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein","Where the Sidewalk Ends",eng,4.29,1016888,1023781,"clary fray head pandemonium club new york city hardly expects witness much le murder committed three teenager covered strange tattoo brandishing bizarre weapon body disappears thin air hard call police murderer invisible everyone else even smear show boy died boy clary first meeting shadowhunters warrior dedicated ridding earth demon also first encounter jace shadowhunter look little like angel act lot like jerk within hour clary pulled jace world vengeance mother disappears clary attacked demon would demon interested ordinary mundanes like clary mother clary suddenly get sight shadowhunters would like know"
51,256683,256683,2267189,178,1416914285,9781416914280,2007,"City of Bones","City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,1241799,"bella edward soft voice came behind turned see spring lightly porch step hair windblown running pulled arm like parking lot kissed kiss frightened much tension strong edge way lip crushed mine like afraid much time left seattle ravaged string mysterious killing malicious vampire continues quest revenge bella find surrounded danger midst forced choose love edward friendship jacob knowing decision potential ignite ageless struggle vampire werewolf graduation quickly approaching bella one decision make life death reader captivated twilight new moon eagerly devour eclipse third book stephenie meyer riveting vampire love saga"
52,428263,428263,2675454,185,316160202,9780316160210,2007,Eclipse,"Eclipse (Twilight, #3)",eng,3.69,1134511,1176642,"alternate cover edition isbn found boy one dragon world adventure eragon find polished blue stone forest think lucky discovery poor farm boy perhaps buy family meat winter stone brings dragon hatchling eragon soon realizes stumbled upon legacy nearly old empire overnight simple life shattered thrust perilous new world destiny magic power ancient sword advice old storyteller guidance eragon fledgling dragon must navigate dangerous terrain dark enemy empire ruled king whose evil know bound eragon take mantle legendary dragon rider fate empire may rest hand"
53,113436,113436,3178011,217,375826696,9780375826700,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",eng,3.86,1104021,1125231,"second earth demolished make way galactic freeway arthur dent plucked planet friend ford prefect researcher revised edition hitchhiker guide galaxy last fifteen year posing dynamic pair begin journey space aided quote hitchhiker guide towel massively useful thing interstellar hitchhiker fellow traveler zaphod beeblebrox totally president galaxy trillian zaphod girlfriend formally tricia mcmillan arthur tried pick cocktail party upon time zone marvin paranoid brilliant chronically depressed robot veet voojagig former graduate student obsessed disappearance ballpoint pen bought pen born die spend much time wearing digital watch answer stick thumb star forget bring towel"
54,11,386162,3078186,257,345391802,9780345391800,1979,"The Hitchhiker's Guide to the Galaxy","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",eng,4.2,936782,1006479,"brave new world dystopian novel english author aldous huxley written published largely set futuristic world state inhabited genetically modified citizen social hierarchy novel anticipates huge scientific advancement reproductive technology psychological manipulation classical conditioning combined make dystopian society challenged single individual story protagonist"
55,5129,5129,3204877,515,60929871,9780060929880,1932,"Brave New World","Brave New World",eng,3.97,1022601,1079135,"afraid murmured belong together abruptly overwhelmed truth word moment perfect right way doubt arm wrapped around holding felt like every nerve ending body live wire forever loved one killing left option could run could fight would hurt beloved one life give could give someone truly loved irrevocably love vampire fantasy nightmare woven dangerously heightened reality bella swan pulled one direction intense passion edward cullen another profound connection werewolf jacob black tumultuous year temptation loss strife led ultimate turning point imminent choice either join dark seductive world immortal pursue fully human life become thread fate two tribe bella made decision startling chain unprecedented event unfold potentially devastating unfathomable consequence frayed strand bella life first discovered twilight scattered torn new moon eclipse seem ready heal knit together could destroyed forever astonishing breathlessly anticipated conclusion twilight saga breaking dawn illuminates secret mystery spellbinding romantic epic entranced million"
56,1162543,1162543,2960529,183,031606792X,9780316067930,2008,"Breaking Dawn","Breaking Dawn (Twilight, #4)",eng,3.7,1070245,1107709,"set south carolina secret life bee tell story lily owen whose life shaped around blurred memory afternoon mother killed lily black mother rosaleen insult three deepest racist town lily decides spring free escape tiburon south carolina town hold secret mother past taken eccentric trio black beekeeping sister lily introduced mesmerizing world bee honey black madonna remarkable novel divine female power story woman share pas daughter year come"
57,37435,37435,3275013,125,142001740,9780142001740,2001,"The Secret Life of Bees","The Secret Life of Bees",eng,4.01,916189,937393,"boy mississippi river town recount adventure travel river runaway slave encountering family involved feud two scoundrel pretending royalty tom sawyer aunt mistake tom"
58,2956,2956,1835605,2277,142437174,9780142437180,1884,"The Adventures of Huckleberry Finn","The Adventures of Huckleberry Finn",eng,3.8,953758,1001491,"beloved book b white author stuart little trumpet swan classic child literature perfect paperback feature vibrant illustration colorized rosemary well pig humble radiant word charlotte web high zuckerman barn charlotte spiderweb tell feeling little pig named wilbur simply want friend also express love girl named fern saved wilbur life born runt b white newbery honor book tender novel friendship love life death continue enjoyed generation come edition contains newly color illustration garth williams acclaimed illustrator b white stuart little laura ingalls wilder little house series among many book"
59,24178,24178,987048,180,64410935,9780064410940,1952,"Charlotte's Web","Charlotte's Web",eng,4.15,1064521,1084842,"christopher john francis boone know country world capital every prime number relates well animal understanding human emotion stand touched detests color yellow improbable story christopher quest investigate suspicious death neighborhood dog make one captivating unusual widely heralded novel recent year"
60,1618,1618,4259809,183,1400032717,9781400032720,2003,"The Curious Incident of the Dog in the Night-Time","The Curious Incident of the Dog in the Night-Time",eng,3.85,867553,915790,"rachel catch commuter train every morning know wait signal time overlooking row back garden even started feel like know people live one house jess jason call see perfect rachel could happy see something shocking minute train move enough everything changed rachel chance become part life watched afar see much girl train alternative cover edition isbn found"
