book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,description
553,107291,107291,1812101,135,045057458X,9780450574580,1991,"Needful Things","Needful Things",NULL,3.87,153821,161758,"often credited creating popular movie audience shakespeare kenneth branagh wanted many year bring screen complete version hamlet shakespeare greatest play film like play something everyone say ghost story thriller murder mystery great tragedy profoundly moving outstanding cast international actor including derek jacobi claudius julie christie gertrude kate winslet ophelia charlton heston player king robin williams osric gerard depardieu reynaldo branagh version play title role well direct sure go film beautiful volume includes branagh introduction screenplay adaptation shakespeare text color still production diary take u behind scene look shooting film"
605,40173,40173,2270522,24,61173398,9780061173390,2007,"Are You There, Vodka? It's Me, Chelsea","Are You There, Vodka? It's Me, Chelsea",NULL,3.85,127096,135734,"october pm graphic artist clay riddell heart boston brilliant autumn afternoon hell unleashed eye without warning carnage chaos reigned ordinary people fell victim basest animalistic apocalypse began ring cell phone"
640,83763,83763,1258566,113,61015725,9780061015720,2002,Prey,Prey,NULL,3.72,131352,136307,"following unexpected death father layken forced rock mother younger brother outwardly appears resilient tenacious inwardly losing cooper attractive new neighbor intriguing passion slam poetry unique sense humor within day introduction layken form intense emotional connection leaving layken renewed sense long intense first date slammed core shocking revelation force new relationship sudden halt daily interaction become impossibly painful struggle find balance feeling pull together secret keep apart"
738,9822,9822,839692,73,689862202,9780689862200,1971,"Mrs. Frisby and the Rats of NIMH","Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",NULL,4.13,135978,142350,"omnibus edition collect five wool book single volume first wool story released standalone short july due reviewer demand rest story released next six month story mankind clawing survival mankind edge world outside grown unkind view limited talk forbidden always hope dream dangerous people resident infect others optimism punishment simple given thing profess want allowed cover"
740,114345,114345,2852640,14,60529962,9780060529960,1953,"The Little House Collection","The Little House Collection (Little House, #1-9)",NULL,4.33,124320,128880,"make journey need leave analytical mind false created self ego behind first page eckhart tolle extraordinary book move rapidly significantly higher altitude breathe lighter air become connected indestructible essence eternal ever present one life beyond myriad form life subject birth although journey challenging eckhart tolle us simple language easy format guide phenomenon since first publication power one rare book power create experience reader one radically change life better"
741,33926,33926,33947,61,143035479,9780143035470,1998,"The Girls' Guide to Hunting and Fishing","The Girls' Guide to Hunting and Fishing",NULL,3.29,113977,118017,"internet star jenny lawson aka bloggess make literary debut jenny lawson realized mortifying moment one like pretend never fact one define u lawson take reader hilarious journey recalling bizarre upbringing rural texas devastatingly awkward high school year relationship husband victor chapter include stanley magical talking squirrel series angry note husband vagina fine thanks asking snuck dead cuban alligator picture caption one would believe thing without proof accompany text"
787,7821447,7821447,10860635,39,61992704,9780061992700,2010,"Sh*t My Dad Says","Sh*t My Dad Says",NULL,3.98,102560,116368,"originally titled child household tale complete grimm fairy tale contains essential bedtime story child worldwide better part two century brother grimm jacob wilhelm german linguist cultural researcher gathered legendary folklore aimed collect story exactly heard marked anniversary grimm fairy tale better way celebrate include story knickerbocker classic series featuring favorite classic including hansel gretel cinderella frog prince rapunzel snow white rumpelstiltskin dozen complete grimm fairy tale also accompanied color plate black white illustration english illustrator arthur rackham whose book print highly third title knickerbocker classic series page classic fairy tale enjoy also feature binding ribbon marker fit neatly elegant slipcase personal library includes selection stunning color reproduction famous illustrator arthur rackham"
790,6596,6596,376130,82,1878424505,9781878424500,1997,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book","The Four Agreements: A Practical Guide to Personal Freedom",NULL,4.12,97016,112472,"ace isbn act like teenager single still feeling cool read right magazine go right club know trainer wear also discovered great way score woman single parent group full available grateful mother waiting mr nice guy meet marcus oldest world marcus bit strange listens joni mitchell mozart look mum never even owned pair trainer perhaps teach marcus kid marcus help grow start act age"
798,7770,7770,98895,49,7173687,9780007173690,1960,"One Fish, Two Fish, Red Fish, Blue Fish","One Fish, Two Fish, Red Fish, Blue Fish",NULL,4.12,117582,122653,"family ancient curse girl change life forever tohru honda orphan place go mysterious sohma family offered place call home ordinary high school life turned upside introduced sohma world magical curse family secret"
799,32423,32423,2200683,99,NULL,9780425188800,1987,Watchers,Watchers,NULL,4.16,109595,113984,"alternate edition isbn edition includes freshly edited text based best early printed version full explanatory note conveniently placed page facing text plot key famous line introduction reading shakespeare essay outstanding scholar providing modern perspective illustration folger shakespeare library vast holding rare book"
843,13584236,13584236,19171215,31,345803574,9780345803570,2012,NULL,"Fifty Shades Trilogy (Fifty Shades, #1-3)",NULL,4.13,76876,101613,"six thing wrong one spot never come head lurk red way next two sister may peed somewhere fourteen day summer hols back stalag oberfuhrer frau simpson bunch sadistic ugly need go ugly went party dressed stuffed wildly funny journal year life georgia nicolson british author louise rennison perfectly captured soaring joy bottomless angst teenager spirit bridget jones diary fresh irreverent simply hilarious book leave laughing loud georgia would say fabbity fab fab"
913,327847,327847,318479,63,684818701,9780684818700,1931,"The Joy of Cooking","The Joy of Cooking",NULL,4.14,102348,105920,"despite constant effort declutter home paper still accumulate like snowdrift clothes pile like tangled mess noodle japanese cleaning consultant marie kondo take tidying whole new level promising properly simplify organize home never method advocate approach doom pick away pile stuff forever konmari method revolutionary system lead lasting result fact none kondo client lapsed still waiting list detailed guidance determining item house spark joy international best seller featuring tokyo newest lifestyle phenomenon help clear clutter enjoy unique magic tidy home calm motivated mindset inspire"
958,3579,3579,7365,40,553609416,76783609419,1908,"The Complete Anne of Green Gables Boxed Set","The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",NULL,4.42,92142,93067,"almost two year kiera boyfriend denny everything ever wanted loving tender endlessly devoted head new city start life together denny dream job kiera university everything seems perfect unforeseen obligation force happy couple lonely confused need comfort kiera turn unexpected local rock star named kellan kyle first purely friend lean loneliness grows relationship one night everything change none ever"
963,5350,5350,1110983,118,385339100,9780385339100,1997,"The Partner","The Partner",NULL,3.89,86870,91921,"ten year ago calamity came burst sky gave ordinary men woman extraordinary power awed public started calling epic epic friend man incredible gift came desire rule rule man must crush fight epic nobody reckoner shadowy group ordinary human spend life studying epic finding weakness assassinating david want want steelheart epic said invincible epic killed david father year like reckoner david studying planning something need object seen steelheart bleed want revenge"
966,425029,425029,7732,110,446350982,9780446350980,1986,"Presumed Innocent","Presumed Innocent",NULL,4.1,91774,93835,"gretchen rubin epiphany one rainy afternoon unlikeliest place city bus day long year short realized time passing focusing enough thing really moment decided dedicate year happiness lively compelling account rubin chronicle adventure twelve month spent wisdom age current scientific research lesson popular culture happier among thing found novelty challenge powerful source happiness money help buy happiness spent wisely outer order contributes inner calm smallest change make biggest difference"
976,90072,90072,24501333,3,793551617,9780793551610,NULL,NULL,"Dr. Seuss's Green Eggs and Ham: For Soprano, Boy Soprano, and Orchestra",NULL,4.44,90574,90691,"country world body must find way live within profound work pivot biggest question american history ideal intimate concern father son coates offer powerful new framework understanding nation history current crisis american built empire idea race falsehood damage u fall heavily body black woman exploited slavery segregation today threatened locked murdered proportion like inhabit black body find way live within honestly reckon fraught history free burden world coates attempt answer question letter adolescent son coates share story awakening truth place world series revelatory experience howard university civil war battlefield south side chicago paris childhood home living room mother whose child life taken american plunder beautifully woven personal narrative reimagined history fresh emotionally charged reportage world clearly illuminates past bracingly confronts present offer transcendent vision way forward"
977,15645,15645,2377563,856,812970063,9780812970070,1320,Inferno,"Inferno (The Divine Comedy #1)",NULL,3.99,87511,109200,"john milton paradise lost one greatest epic poem english language tell story fall man tale immense drama excitement rebellion treachery innocence pitted corruption god satan fight bitter battle control mankind destiny struggle rage across three world heaven hell earth satan band rebel angel plot revenge god center conflict adam eve motivated human temptation whose ultimate downfall unyielding milton characteristic erudition paradise lost work epic scale notoriously ambition nearly year held generation upon generation audience rapt attention profound influence seen almost every corner western culture"
986,11564,11564,1836389,115,1416524290,9781416524300,1999,"The Girl Who Loved Tom Gordon","The Girl Who Loved Tom Gordon",NULL,3.56,95768,103156,"striking literary debut carol rifka brunt unfolds moving story love grief renewal two lonely people become unlikeliest friend find sometimes know lost someone found one person ever truly understood june elbus uncle renowned painter finn wei shy school distant older sister june finn company godfather confidant best friend dy far young mysterious illness mother barely speak june world turned upside finn death brings surprise acquaintance june help heal question think know finn family even heart finn funeral june notice strange man lingering beyond crowd day later receives package mail inside beautiful teapot recognizes finn apartment note toby stranger asking opportunity meet two begin spend time together june realizes one miss finn bring trust unexpected friend might one need emotionally charged novel tell wolf home tender story love lost found unforgettable portrait way compassion make u whole"
992,3090465,3090465,6440505,36,739352350,9780739352360,2005,"The Twilight Saga","The Twilight Saga (Twilight, #1-4)",NULL,3.88,89204,96811,"life little brother fudge make peter hatcher feel like fourth grade nothing whether fudge throwing temper tantrum shoe store smearing mashed potato wall hamburger heaven trying fly never far trouble almost terror get away everything peter fudge walk dribble peter pet turtle last straw peter put fudge long way long get parent pay attention change"
1012,13508607,13508607,19060869,89,1439152802,9781439152800,2012,"The Secret Keeper","The Secret Keeper",NULL,4.13,89460,100731,"overlord appeared suddenly every city intellectually technologically militarily superior humankind benevolent made demand unify earth eliminate poverty end war little rebellion humankind agreed golden age cost advent peace man cease strive creative greatness malaise settle human race resist becomes evident overlord agenda civilization approach crossroad overlord spell end humankind beginning"
1013,411053,411053,556134,88,696215322,9780696215320,1953,"Better Homes & Gardens New Cook Book","Better Homes and Gardens New Cook Book  ",NULL,4.14,93640,95085,"brave mouse covetous rat wishful serving girl princess named pea come together kate dicamillo newbery story despereaux tilling mouse love music story princess named pea also story rat called roscuro life darkness covets world filled light story miggery sow serving girl harbor simple impossible wish three character embark journey lead horrible dungeon glittering castle ultimately life happens kate dicamillo would say reader destiny find"
1054,13125947,13125947,14449480,51,525423664,9780525423670,2012,Reached,"Reached (Matched, #3)",NULL,3.56,109290,117859,"orphaned kit tyler know gaze first time cold bleak shore connecticut colony new home never like shimmering caribbean island left behind relative stern puritan community feel like tropical bird flown wrong part world bird caged lonely place kit feel completely free meadow enjoys company old quaker woman known witch blackbird pond occasion young sailor friend nat kit friendship witch discovered kit faced suspicion fear anger accused witchcraft"
1057,5348,5348,2777175,114,440234743,9780440234750,1999,"The Testament","The Testament",NULL,3.83,80377,86213,"one moment every drop blood body brought stop moment sprung earth stood figure solitary woman dressed head foot woman white famously open walter hartright eerie encounter moonlit london road engaged drawing master beautiful laura fairlie walter becomes embroiled sinister intrigue sir percival glyde friend count fosco taste white mouse vanilla bonbon poison pursuing question identity insanity along path corridor english country house madhouse woman white first influential victorian genre combined gothic horror psychological sweet introduction explores phenomenon victorian fiction discus wilkie collins biographical societal influence included edition appendix theatrical adaptation novel serialisation history"
1097,89375,89375,2957021,54,800759494,9780800759490,2004,"90 Minutes in Heaven","90 Minutes in Heaven: A True Story of Death and Life",NULL,3.91,67937,69968,"great divorce novel british author lewis published based theological dream vision reflects christian conception heaven hell"
1103,80568,80568,3164888,60,446613347,9780446613350,2001,"Sam's Letters To Jennifer","Sam's Letters to Jennifer",NULL,4.15,77538,79471,"new adventure lie ahead anne shirley pack bag wave childhood head redmond college old friend prissy grant waiting bustling city kingsport frivolous new friend philippa gordon side anne tuck memory rural avonlea away discovers life term filled surprise including marriage proposal worst fellow imaginable sale first story tragedy teach painful lesson tear turn laughter anne friend move old cottage ornery black cat steal heart little anne know handsome gilbert blythe want win heart suddenly anne must decide whether ready love"
1107,80536,80536,3111329,50,1416528636,9781416528630,2004,"Little Earthquakes","Little Earthquakes",NULL,3.76,77592,80501,"bc modern indian mistakenly call indus valley civilisation inhabitant period called land meluha near perfect empire created many century earlier lord ram one greatest monarch ever lived proud empire suryavanshi ruler face severe peril primary river revered saraswati slowly drying extinction also face devastating terrorist attack east land chandravanshis make matter worse chandravanshis appear allied naga ostracised sinister race deformed human astonishing martial skill hope suryavanshis ancient legend evil reach epic proportion seems lost appears enemy triumphed hero tibetan immigrant shiva really hero want hero drawn suddenly destiny duty well love shiva lead suryavanshi vengeance destroy evil"
1124,22206,22206,1311854,67,99437961,9780099437960,2002,Lullaby,Lullaby,NULL,3.73,66713,76680,"ravishing beauty unsettling intelligence michael ondaatje booker novel trace intersection four damaged life italian villa end world war ii hana exhausted nurse maimed thief caravaggio wary sapper kip haunted riddle english patient nameless burned man lie upstairs room whose memory passion betrayal rescue illuminates book like flash heat lightening"
1133,11713,11713,3009869,58,771068719,9780771068710,1992,"The English Patient","The English Patient",NULL,3.88,83741,92162,"cryptonomicon zoom world careening conspiratorially back forth two time war ii present hero brilliant mathematician lawrence waterhouse crypt analyst extraordinaire marine bobby shaftoe part detachment allied group trying break axis communication code simultaneously preventing enemy figuring code broken job boil layer upon layer deception alan turing also member explains unit strange working waterhouse want sink convoy send observation plane first course observe real already know exactly convoy real duty observed come round sink german find suspicious secrecy resonates story line grandchild wwii programming geek randy waterhouse lovely powerful amy help create offshore data southeast asia maybe uncover gold destined nazi coffer top paranoiac tone book mysterious enoch root key member detachment societas eruditorum pop unbreakable encryption scheme left wwii befuddle protagonist conspiratorial tie"
1177,7619057,15842439,10090210,73,99549344,9780099549340,2010,"Warm Bodies","Warm Bodies (Warm Bodies, #1)",NULL,3.93,66381,91450,"play modern theater captured imagination heart american public tennessee williams glass menagerie williams first popular success launched brilliant somewhat controversial career lyric playwright since premiere chicago legendary laurette taylor role amanda menagaerie bravura piece great actress jessica tandy joanne woodward studied performed classroom theatre around world glass menagerie reading text author preferred available new direction paperbook edition new introduction editor tennessee williams annual review robert bray reappraises play half century new york drama critic circle award edition glass menagerie also includes williams essay impact sudden fame struggling writer catastrophe success well short section williams production note back cover"
1185,306654,306654,1187268,46,038531258X,9780385312580,1984,"Cold Sassy Tree","Cold Sassy Tree",NULL,3.99,82281,84646,"summer vacation weather great kid fun outside greg heffley inside house playing video game shade drawn greg indoor person living ultimate summer fantasy responsibility rule greg mom different vision ideal summer one packed outdoor activity family whose vision win new addition heffley family change everything"
1203,12000020,12000020,16964419,41,1442408928,9781442408920,2012,"Aristotle and Dante Discover the Secrets of the Universe","Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",NULL,4.34,108884,123245,"new york time bestselling author jane austen book club introduces american family ordinary every way one meet cooke family mother dad lowell rosemary unusual sister fern rosemary begin story middle reason fern expulsion rosemary say twin funhouse mirror whirlwind half loved child rosemary never stopped talking something happened rosemary wrapped completely beside karen joy fowler weave accomplished work tale loving fallible people whose action lead heartbreaking consequence"
1221,22695,22695,2055065,54,440243750,9780440243760,1998,"Summer Sisters","Summer Sisters",NULL,3.83,73515,77703,"superior glokta problem defend city surrounded enemy riddled traitor ally mean trusted predecessor vanished without trace enough make torturer want run could even walk without spilled border angland spreading fire death across frozen country crown prince ladisla poised drive back win undying glory one problem command army bayaz first magi leading party bold adventurer perilous mission ruin past hated woman south feared man north selfish boy union make strange alliance deadly one might even stand chance saving mankind eater hate quite secret uncovered bloody battle lost bitter enemy forgiven hanged"
1240,1848444,1848444,2766104,13,582416396,9780582416390,1891,"A Scandal in Bohemia","A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)",NULL,4.22,65422,65548,"seanchan invasion force possession ebou dar nynaeve elayne aviendha head caemlyn elayne rightful throne way discover enemy much worse illian rand vow throw seanchan back sign madness appearing among ghealdan perrin face intrigue whitecloaks seanchan invader scattered shaido aiel prophet perrin beloved wife faile may pay life perrin may destroy soul save rebel aes sedai young amyrlin egwene face army intends keep away white tower egwene determined unseat usurper elaida reunite aes sedai yet understand price pay"
1245,5354,5354,1854517,107,385339674,9780385339670,2000,"The Brethren","The Brethren",NULL,3.71,69351,73550,"brutal battle underworld nearly destroyed locke trusted sidekick jean ﬂed island city birth landed exotic shore tal verrar nurse wound even westernmost edge civilization ca rest long soon back best stealing undeserving rich pocketing proceeds time however targeted grandest prize sinspire exclusive heavily guarded gambling house world nine ﬂoors attract wealthiest clientele rise top one must impress good credit amusing behavior excruciatingly impeccable play one cardinal rule enforced requin house master death cheat game undeterred locke jean orchestrated elaborate plan lie trick swindle way nine ﬂoors straight requin teeming vault cloak false identity meticulously make climb closer spoil someone tal verrar uncovered duo secret someone past every intention making impudent criminal pay sin take every ounce cunning save mercenary soul even may enough"
1277,73186,73186,333464,52,310226058,9780310226060,1988,"The Case for Christ","The Case for Christ",NULL,4.1,67128,69643,"book hogwarts library volume quidditch player harry potter fan without ever asked golden snitch came bludgers came existence wigtown wanderer picture meat cleaver robe need quidditch age invaluable volume consulted young quidditch fan almost daily sale book go comic relief use money continue improving changing life work even important astonishing capture golden snitch roderick plumpton"
1320,3586,3586,6658413,117,1593082045,9781593082050,1914,"Sherlock Holmes: The Complete Novels and Stories, Vol 2","The Complete Sherlock Holmes, Vol 2",NULL,4.46,66857,71825,"beat movement icon visionary poet allen ginsberg broke boundary fearless pyrotechnic verse apocalyptic howl became subject obscenity trial first published vindication watershed moment history dark ecstatic rhapsodic howl show ginsberg one influential poet twentieth poem collection ginsberg finest work including howl one principal work beat generation well supermarket california transcription organ music sunflower sutra america baggage room greyhound earlier work"
1357,29797,29797,1960084,193,486426750,9780486426750,1678,NULL,"The Pilgrim's Progress",NULL,3.98,67777,76121,"rid earth seven billion human rid human first four wave nearly impossible cassie sullivan find new world world fundamental trust bind u together gone wave roll across landscape cassie ben ringer forced confront others ultimate goal extermination human friend seen depth others sink others seen height humanity rise ultimate battle life death hope despair love hate"
1377,147074,147074,40008,2,312990227,9780312990220,2002,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)","Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",NULL,4.34,63691,63694,"love triangle span year civil war rage stefan salvatore fighting battle engaged marry someone love stefan fall mysterious girl named katherine gleaming curl mischievous brown eye katherine beautiful also harbor dark secret popular cw tv show inspired bestselling novel stefan diary reveals really happened stefan damon vampire diary love triangle began note book written ghostwriter"
1418,44688,44688,938086,55,345335457,9780345335460,1983,"Magician's Gambit","Magician's Gambit (The Belgariad, #3)",NULL,4.13,69616,72820,"greg heffley big trouble school property damaged greg prime suspect crazy thing innocent least sort authority closing surprise blizzard hit heffley family trapped indoors greg know snow melt going face music could punishment worse stuck inside family holiday"
1426,10913,10913,3349582,50,60878061,9780060878060,1999,"Keeping Faith","Keeping Faith",NULL,3.79,62405,69258,"becky thought married luke brandon would one big tiffany box happiness honest quite dreamy trouble started honeymoon told luke tiniest little fib teeniest little purchase strict budget job worst beloved suze new best friend receives incredible news sister becky never excited finally real sister much common go shopping together choose shoe together manicure together meet get shock life ca true surely becky bloomwood sister ca hate shopping"
1444,38501,38501,958661,85,006117758X,9780061177580,1982,"Ham on Rye","Ham on Rye",NULL,4.16,54140,61743,"one george bernard shaw play pygmalion rousing success london new york stage entertaining motion picture great hit musical version fair lady updated considerably revised version ancient greek legend pygmalion galatea story poke fun antiquated british class system shaw clever adaptation professor henry higgins linguistic expert take bet transform awkward cockney flower seller refined young lady simply polishing manner changing way speaks process convincing society creation mysterious royal figure professor also fall love elegant irresistible theme emerging butterfly together shaw brilliant dialogue splendid skill playwright made pygmalion one popular comedy english language staple college drama course still widely performed"
1446,6486483,6486483,6677843,28,974320625,9780974320620,2003,"Emotional Intelligence 2.0","Emotional Intelligence 2.0",NULL,3.81,53384,54382,"strange thing afoot fablehaven someone something released plague transforms being light creature darkness seth discovers problem infancy infectious disease spread becomes clear preserve hold dire need help sorensons question turn sphinx always given sound traitor inside quiet box vanessa might information could lead trust meanwhile kendra member knight dawn must journey distant preserve retrieve another hidden artifact society evening star recover first plague eclipse light fablehaven find fablehaven grip shadow plague"
1447,29291,29291,103828,62,670035386,9780670035380,1941,"Make Way for Ducklings","Make Way for Ducklings",NULL,4.21,70704,72105,"lurching cappuccino bar notting hill shore thailand bridget jones search truth spite pathetically unevolved men insane dating theory smug married advice calling say potty potty well daddy hand experience spiritual epiphany somewhere page find love want without seeking book really self help protective custody lightly chilled chardonnay"
1489,7882,7882,1402758,87,60885408,9780060885400,1937,NULL,"On the Banks of Plum Creek  (Little House, #4)",NULL,4.19,74666,80381,"life like recurring nightmare train nowhere ordinary life way taking extraordinary turn add girl whose ear exquisite uncovered improve sex runaway friend politico professor sheep outfit implicate hunt sheep may may running world upshot another singular masterpiece japan finest novelist"
1495,87640,87640,84604,7,60899190,9780060899200,2005,"PostSecret: Extraordinary Confessions from Ordinary Lives","PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret)",NULL,4.01,58841,59379,"narrator zahir bestselling novelist life paris enjoys privilege money celebrity bring wife ten year esther war correspondent disappeared along friend mikhail may may esther kidnapped murdered simply escape marriage left unfulfilled narrator answer plenty question one day mikhail find narrator promise reunite wife attempt recapture lost love narrator discovers something unexpected"
1497,348573,348573,802336,90,152047379,9780152047380,1952,"The Borrowers Afield","The Borrowers (The Borrowers, #1)",NULL,4.02,74820,77076,"cozy weekend deep english countryside take sinister turn ruth ware suspenseful compulsive darkly twisted psychological thing reclusive writer leonora invited english countryside weekend away reluctantly agrees make trip first night fall revelation unfold among friend old new unnerving memory shatters leonora reserve haunting realization creep party alone wood"
1543,13573236,13573236,19153727,87,385535144,9780385535140,2012,"The Racketeer","The Racketeer",NULL,3.79,48286,66645,"nathaniel treat bartimaeus worse ever djinni weak much time world near end patience rebel kitty hide stealthily finishing research magic demon bartimaeus daring plan hope break endless cycle conflict djinn human anyone listen say together trio face treacherous magician complex conspiracy rebellious faction demon survive must test limit world question deepest part"
1556,13362536,13362536,18591132,42,1620610094,9781620610090,2012,Opal,"Opal (Lux, #3)",NULL,4.34,92014,98068,"one unremarkable june morning alice goodwin usual trying keep check temper tendency blame family shortcoming goodwins took last dairy farm small midwestern town prairie center envisioned home paradise day alice aware elder daughter emma prone inexplicable fit rage husband howard distrust maternal competence prairie center suburban community show sign warming hippy think run farm loner nature alice torn yearning solitude coupled deep need center perfect family particular day emma started morning violent tantrum little sister claire eating penny alice turn watch neighbor two small girl well absentmindedly steal minute alone quickly becomes ten time enough devastating accident occur neighbor daughter lizzy drowns farm pond alice whose volatility unmasked directness keep outskirt acceptance becomes perfect scapegoat time seemingly trivial incident alice past resurfaces take gigantic proportion leading goodwins far lizzy death maze guilt doubt culminating harrowing court trial family shattering downfall"
1557,6512154,6512154,6703901,54,1934781630,9781934781630,2008,Zeitoun,Zeitoun,NULL,4.08,55398,60136,"sometimes one love hurt always easy never stopped working hard life want come long way small town maine grew graduated college moved boston started business feel spark gorgeous neurosurgeon named ryle kincaid everything lily life suddenly seems almost good assertive stubborn maybe even little arrogant also sensitive brilliant total soft spot lily way look scrub certainly hurt lily get head ryle complete aversion relationship disturbing even lily find becoming exception dating rule help wonder made way first question new relationship overwhelm thought atlas corrigan first love link past left behind kindred spirit protector atlas suddenly reappears everything lily built ryle threatened"
